modelo,f1_macro_mean,f1_macro_std,f1_macro,limiar_mean,limiar_std,limiar,recall_teste_mean,recall_teste_std,recall_teste,fpr_teste_mean,fpr_teste_std,fpr_teste,fit_time_s_mean,fit_time_s_std,fit_time_s
RandomForest,0.6465571328853698,0.04674756971804741,0.6466 ± 0.0467,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.6226371040000686,0.06771880402603596,0.6226 ± 0.0677
LogisticRegression,0.4028103044496487,0.0,0.4028 ± 0.0000,0.18092596530914307,0.0,0.1809 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.6854838709677419,0.0,0.6855 ± 0.0000,0.005642945900035556,0.0033824761531900103,0.0056 ± 0.0034
